round,global_test_acc,global_test_loss,global_best_score,client1_val_acc,client2_val_acc,client3_val_acc,client1_pbest,client2_pbest,client3_pbest,round_time
1,77.08674304418986,0.5488063281980055,95.5952380952381,82.91666666666667,95.2,95.5952380952381,82.91666666666667,95.2,95.5952380952381,95.76526832580566
2,93.83524277141298,0.2536524948503437,96.8,90.83333333333333,96.8,95.83333333333333,90.83333333333333,96.8,95.83333333333333,96.84121346473694
3,95.63557010365521,0.17753980161044106,96.8,90.0,86.66666666666667,96.78571428571429,90.83333333333333,96.8,96.78571428571429,96.50573658943176
4,96.78123295144572,0.11693082009602723,96.8,92.08333333333333,96.0,94.88095238095238,92.08333333333333,96.8,96.78571428571429,96.00727438926697
5,97.54500818330605,0.09545301649004928,98.21428571428571,87.5,97.2,98.21428571428571,92.08333333333333,97.2,98.21428571428571,96.17420411109924
6,98.14511729405346,0.08369464350358487,98.53333333333333,95.41666666666667,98.53333333333333,98.33333333333333,95.41666666666667,98.53333333333333,98.33333333333333,96.18913054466248
7,97.2176759410802,0.13196743120728383,98.53333333333333,95.41666666666667,96.13333333333334,97.5,95.41666666666667,98.53333333333333,98.33333333333333,96.35371565818787
8,98.3633387888707,0.08886790743242179,98.66666666666667,94.58333333333333,98.66666666666667,97.73809523809524,95.41666666666667,98.66666666666667,98.33333333333333,97.44645881652832
9,97.38134206219313,0.11450201516834504,98.66666666666667,95.0,97.6,97.38095238095238,95.41666666666667,98.66666666666667,98.33333333333333,97.36614060401917
10,98.47244953627933,0.0813798826250071,98.66666666666667,97.08333333333333,91.86666666666666,89.16666666666667,97.08333333333333,98.66666666666667,98.33333333333333,95.58644366264343
11,97.87234042553192,0.09767162650753343,98.66666666666667,97.08333333333333,97.06666666666666,92.73809523809524,97.08333333333333,98.66666666666667,98.33333333333333,98.88942408561707
12,98.19967266775778,0.09611509810001108,98.8,93.75,98.8,98.33333333333333,97.08333333333333,98.8,98.33333333333333,96.87668108940125
13,97.8177850518276,0.11146100924715624,98.80952380952381,94.58333333333333,98.13333333333334,98.80952380952381,97.08333333333333,98.8,98.80952380952381,95.34419751167297
14,97.70867430441899,0.11565354556007841,98.80952380952381,93.75,98.66666666666667,95.71428571428571,97.08333333333333,98.8,98.80952380952381,98.12647366523743
15,98.41789416257501,0.08717450260180691,98.80952380952381,94.58333333333333,96.66666666666667,95.83333333333333,97.08333333333333,98.8,98.80952380952381,96.54381108283997
16,97.87234042553192,0.10077255967390274,98.80952380952381,95.41666666666667,98.4,97.38095238095238,97.08333333333333,98.8,98.80952380952381,96.22087240219116
17,98.41789416257501,0.09185296343087523,99.16666666666667,95.83333333333333,96.26666666666667,99.16666666666667,97.08333333333333,98.8,99.16666666666667,96.56550931930542
18,98.79978177850518,0.07853175893872284,99.2,96.66666666666667,99.2,98.80952380952381,97.08333333333333,99.2,99.16666666666667,97.61566734313965
19,97.98145117294054,0.11264450805851836,99.28571428571429,95.41666666666667,98.53333333333333,99.28571428571429,97.08333333333333,99.2,99.28571428571429,95.63431644439697
