Metric,FedAvg,FedProx,QPSO-FL
Final Acc (%),88.16,91.82,91.43
Best Acc (%),90.56,93.02,92.09
Rounds Run,100.0,100.0,100.0
Rounds to 80%,35.0,17.0,19.0
Avg Round (s),8.03,8.16,74.92
Total Time (min),13.38,13.6,124.87
Client Std Dev,12.82,6.05,3.65
