round,global_test_acc,global_test_loss,client1_val_acc,client2_val_acc,client3_val_acc,round_time
1,49.154391707583194,1.4317927360534668,72.08333333333333,73.6,47.73809523809524,97.82848119735718
2,83.63338788870703,0.4028556331478316,77.5,86.93333333333334,90.5952380952381,97.48051643371582
3,92.41680305510093,0.22554110876958947,81.25,86.53333333333333,94.76190476190476,97.85150671005249
4,95.63557010365521,0.16762261804803436,87.08333333333333,96.0,91.07142857142857,97.82161664962769
5,95.47190398254229,0.2060354188855352,89.16666666666667,92.66666666666667,95.71428571428571,96.21241211891174
6,98.14511729405346,0.1081862553636993,90.83333333333333,97.46666666666667,96.66666666666667,94.2546112537384
7,97.87234042553192,0.1302325157870153,95.83333333333333,97.33333333333333,91.30952380952381,95.88164401054382
8,98.30878341516639,0.11587907565187598,95.83333333333333,96.0,97.26190476190476,97.54643201828003
9,97.98145117294054,0.1257572660773615,94.58333333333333,98.13333333333334,97.85714285714286,96.2841100692749
10,98.19967266775778,0.14737299771287984,96.66666666666667,97.33333333333333,98.92857142857143,96.47119879722595
11,98.47244953627933,0.10657407760826855,94.16666666666667,99.06666666666666,99.16666666666667,96.66179275512695
12,98.3633387888707,0.1376232041771361,94.58333333333333,95.73333333333333,98.80952380952381,95.07947754859924
13,98.58156028368795,0.1289070043273788,95.83333333333333,98.53333333333333,98.21428571428571,95.96115493774414
14,97.87234042553192,0.17228794263265346,96.66666666666667,99.33333333333333,89.4047619047619,97.57704186439514
15,97.7632296781233,0.13605186467310856,96.66666666666667,89.06666666666666,98.0952380952381,97.3330910205841
16,98.58156028368795,0.12808077648866134,95.0,98.8,97.61904761904762,96.94659614562988
17,98.09056192034916,0.1565661058472462,96.25,99.2,97.73809523809524,95.82605719566345
18,98.79978177850518,0.14765096980688902,96.66666666666667,97.86666666666666,98.57142857142857,95.87805223464966
19,98.74522640480087,0.14752758114497644,96.25,100.0,99.16666666666667,95.69040060043335
20,98.74522640480087,0.14569392035818493,97.08333333333333,99.06666666666666,99.4047619047619,95.02505278587341
21,98.8543371522095,0.15251625105071887,97.5,94.4,99.28571428571429,96.90999102592468
22,98.47244953627933,0.17680172115295387,95.0,98.13333333333334,94.04761904761905,95.95866060256958
