round,global_test_acc,global_test_loss,client1_val_acc,client2_val_acc,client3_val_acc,round_time
1,23.567921440261866,2.5889552646669847,60.416666666666664,28.533333333333335,76.54761904761905,98.48373603820801
2,25.368248772504092,1.7706053791374996,60.416666666666664,85.73333333333333,83.0952380952381,98.37734079360962
3,79.32351336606656,0.588962115604302,64.58333333333333,87.86666666666666,71.66666666666667,96.29790759086609
4,92.41680305510093,0.24190169726980143,76.66666666666667,87.86666666666666,89.16666666666667,98.73841142654419
5,92.8532460447354,0.23399022062598118,78.75,94.8,94.4047619047619,97.50534272193909
6,95.36279323513367,0.16966160807501654,83.75,91.86666666666666,93.33333333333333,96.7703549861908
7,94.32624113475177,0.2243006387645186,90.0,90.66666666666667,95.11904761904762,96.6685938835144
8,96.78123295144572,0.1414769641123712,83.33333333333333,92.66666666666667,95.47619047619048,98.14290523529053
9,97.05400981996726,0.15142556629545087,93.75,95.73333333333333,94.76190476190476,97.79877781867981
10,97.10856519367158,0.1700595164368459,94.58333333333333,97.06666666666666,90.0,96.53147149085999
11,97.32678668848881,0.17101242530996638,91.25,97.33333333333333,95.95238095238095,97.36605787277222
12,97.65411893071467,0.14047241510807312,94.58333333333333,96.53333333333333,96.78571428571429,97.24863338470459
13,96.83578832515003,0.16675518553880653,94.16666666666667,97.2,95.11904761904762,96.13495588302612
14,96.78123295144572,0.18376054671986414,95.0,91.86666666666666,96.19047619047619,97.19739127159119
15,96.89034369885434,0.16956466110623925,92.08333333333333,93.73333333333333,96.42857142857143,97.38605046272278
16,96.78123295144572,0.1709483184687119,96.25,97.2,96.78571428571429,95.98493838310242
17,97.8177850518276,0.13914134647297785,95.41666666666667,96.26666666666667,97.61904761904762,96.59584164619446
18,96.94489907255864,0.17586969572585076,92.91666666666667,96.8,96.66666666666667,97.4858067035675
19,96.89034369885434,0.18464408280048922,94.58333333333333,85.33333333333333,97.02380952380952,97.00705099105835
20,97.8177850518276,0.15692674269717075,95.0,93.73333333333333,97.5,96.57763314247131
21,97.70867430441899,0.1554285215763606,92.5,98.66666666666667,96.78571428571429,97.6926121711731
22,97.05400981996726,0.18353934192142835,95.41666666666667,97.2,96.54761904761905,95.21781635284424
23,97.65411893071467,0.1637335791600545,95.83333333333333,98.13333333333334,97.5,97.40060329437256
24,97.43589743589743,0.18811001003720368,92.91666666666667,98.8,97.85714285714286,96.25432181358337
25,97.54500818330605,0.21019799324112054,95.0,98.0,94.64285714285714,97.66194891929626
26,97.98145117294054,0.17518888550690964,93.33333333333333,97.33333333333333,97.02380952380952,97.24272418022156
27,97.92689579923622,0.1776791354616856,96.66666666666667,96.0,97.38095238095238,96.50055360794067
28,97.49045280960175,0.19792809706986786,96.25,98.13333333333334,98.21428571428571,96.76145458221436
29,98.03600654664484,0.17212482788053077,95.41666666666667,97.73333333333333,97.97619047619048,97.16230154037476
30,97.87234042553192,0.183723792063543,95.41666666666667,98.4,96.9047619047619,98.77210640907288
31,97.7632296781233,0.1816604030964613,96.25,98.13333333333334,94.04761904761905,98.32052040100098
32,97.87234042553192,0.1814527965760072,94.58333333333333,94.26666666666667,98.80952380952381,98.42437481880188
33,97.54500818330605,0.19642745731154468,94.58333333333333,98.26666666666667,97.97619047619048,97.46099853515625
34,97.43589743589743,0.18416692736204351,96.25,98.13333333333334,95.83333333333333,98.29551076889038
35,98.03600654664484,0.17455938763581297,95.83333333333333,98.53333333333333,98.21428571428571,97.9371268749237
36,97.8177850518276,0.20767672396812423,92.91666666666667,98.13333333333334,94.16666666666667,96.81485104560852
37,98.09056192034916,0.1855162912828244,95.41666666666667,98.66666666666667,98.57142857142857,98.01395773887634
38,97.8177850518276,0.18514761829386583,94.16666666666667,98.53333333333333,97.97619047619048,98.62081265449524
39,98.09056192034916,0.18555348810912556,95.83333333333333,97.86666666666666,98.45238095238095,99.00805687904358
40,97.7632296781233,0.1934193003759337,94.58333333333333,98.8,98.0952380952381,96.69082474708557
41,97.98145117294054,0.20349191662830107,93.33333333333333,98.26666666666667,98.21428571428571,98.2783031463623
42,97.98145117294054,0.20856771830550502,93.75,98.4,98.21428571428571,97.46697282791138
43,98.25422804146208,0.1712626621979482,92.08333333333333,98.26666666666667,98.33333333333333,97.12798738479614
