round,global_test_acc,global_test_loss,global_best_score,client1_val_acc,client2_val_acc,client3_val_acc,client1_pbest,client2_pbest,client3_pbest,round_time
1,23.240589198036005,2.263814356820337,84.0,57.5,84.0,43.69047619047619,57.5,84.0,43.69047619047619,97.23196411132812
2,85.59738134206219,0.4168026687513138,89.76190476190476,71.66666666666667,88.8,89.76190476190476,71.66666666666667,88.8,89.76190476190476,96.86037874221802
3,88.9798145117294,0.33563235363569754,89.76190476190476,86.25,82.8,85.95238095238095,86.25,88.8,89.76190476190476,97.82139110565186
4,91.76213857064921,0.2487085996645278,92.4,72.5,92.4,80.95238095238095,86.25,92.4,89.76190476190476,97.46738862991333
5,92.58046917621385,0.23061009085383907,94.93333333333334,82.91666666666667,94.93333333333334,71.54761904761905,86.25,94.93333333333334,89.76190476190476,97.11780881881714
6,94.43535188216039,0.1920518646466321,94.93333333333334,82.08333333333333,92.93333333333334,94.16666666666667,86.25,94.93333333333334,94.16666666666667,98.25542879104614
7,94.59901800327333,0.18942873258593268,94.93333333333334,88.33333333333333,82.53333333333333,92.85714285714286,88.33333333333333,94.93333333333334,94.16666666666667,97.07073020935059
8,95.36279323513367,0.17509887898180249,94.93333333333334,90.83333333333333,87.73333333333333,94.4047619047619,90.83333333333333,94.93333333333334,94.4047619047619,98.0108151435852
9,95.85379159847245,0.16185977549195804,94.93333333333334,89.16666666666667,87.33333333333333,93.45238095238095,90.83333333333333,94.93333333333334,94.4047619047619,97.2161591053009
10,95.63557010365521,0.17216816936330548,95.23809523809524,87.08333333333333,94.93333333333334,95.23809523809524,90.83333333333333,94.93333333333334,95.23809523809524,97.79256534576416
11,95.96290234588108,0.16493385363819785,95.23809523809524,92.5,92.93333333333334,91.30952380952381,92.5,94.93333333333334,95.23809523809524,96.1698362827301
12,95.14457174031642,0.19180460087954998,95.83333333333333,93.33333333333333,78.13333333333334,95.83333333333333,93.33333333333333,94.93333333333334,95.83333333333333,96.78228855133057
13,95.52645935624659,0.17158259244250326,95.83333333333333,90.41666666666667,95.46666666666667,94.04761904761905,93.33333333333333,95.46666666666667,95.83333333333333,97.37828230857849
14,95.36279323513367,0.174327428982561,95.83333333333333,90.83333333333333,94.66666666666667,95.11904761904762,93.33333333333333,95.46666666666667,95.83333333333333,96.67527270317078
15,95.52645935624659,0.17714125907112813,95.83333333333333,90.83333333333333,95.2,95.35714285714286,93.33333333333333,95.46666666666667,95.83333333333333,97.67116713523865
16,96.07201309328968,0.1641499908271663,95.83333333333333,93.75,91.86666666666666,95.47619047619048,93.75,95.46666666666667,95.83333333333333,98.19761657714844
17,95.79923622476814,0.17873847011701557,95.83333333333333,92.5,94.8,92.5,93.75,95.46666666666667,95.83333333333333,97.61471343040466
18,95.90834697217676,0.16336290340404958,95.83333333333333,90.0,94.66666666666667,94.28571428571429,93.75,95.46666666666667,95.83333333333333,96.36776757240295
19,95.85379159847245,0.16594093052092299,95.83333333333333,95.41666666666667,95.33333333333333,95.11904761904762,95.41666666666667,95.46666666666667,95.83333333333333,97.44110703468323
20,96.1811238406983,0.15146375509733656,96.53333333333333,95.41666666666667,96.53333333333333,95.0,95.41666666666667,96.53333333333333,95.83333333333333,97.23497939109802
21,97.2176759410802,0.14312501535510067,97.6,92.08333333333333,97.6,93.92857142857143,95.41666666666667,97.6,95.83333333333333,98.9205174446106
22,97.05400981996726,0.14944309120644525,97.6,92.91666666666667,96.0,96.19047619047619,95.41666666666667,97.6,96.19047619047619,97.98954629898071
23,96.6721222040371,0.15351840317979903,97.6,91.25,95.73333333333333,96.54761904761905,95.41666666666667,97.6,96.54761904761905,96.25418019294739
24,97.10856519367158,0.1415943312398479,97.6,96.66666666666667,94.93333333333334,96.30952380952381,96.66666666666667,97.6,96.54761904761905,96.79241156578064
25,97.2722313147845,0.141722087202401,97.6,92.5,94.66666666666667,94.16666666666667,96.66666666666667,97.6,96.54761904761905,97.97621965408325
26,97.05400981996726,0.14421890084712027,97.6,90.83333333333333,92.8,96.30952380952381,96.66666666666667,97.6,96.54761904761905,97.53747630119324
27,97.43589743589743,0.1370707906718398,97.6,91.25,97.46666666666667,95.5952380952381,96.66666666666667,97.6,96.54761904761905,97.30777883529663
28,97.54500818330605,0.14116362054984824,97.6,91.25,96.4,86.19047619047619,96.66666666666667,97.6,96.54761904761905,99.0965929031372
29,97.05400981996726,0.14447031242186845,97.6,95.0,96.8,93.57142857142857,96.66666666666667,97.6,96.54761904761905,98.85998344421387
30,97.38134206219313,0.1358590796088061,97.6,94.58333333333333,94.93333333333334,96.66666666666667,96.66666666666667,97.6,96.66666666666667,97.33434009552002
31,96.94489907255864,0.14463306395417272,97.6,91.66666666666667,96.13333333333334,96.66666666666667,96.66666666666667,97.6,96.66666666666667,97.49660325050354
32,97.54500818330605,0.1329976834521372,97.6,93.33333333333333,96.0,96.54761904761905,96.66666666666667,97.6,96.66666666666667,96.98983693122864
33,97.16312056737588,0.1370130875709884,97.6,89.16666666666667,94.93333333333334,94.88095238095238,96.66666666666667,97.6,96.66666666666667,98.14459729194641
