round,global_test_acc,global_test_loss,client1_val_acc,client2_val_acc,client3_val_acc,round_time
1,29.405346426623023,2.512611452875466,100.0,100.0,100.0,103.26341247558594
2,27.768685215493726,2.8417719725904793,100.0,100.0,100.0,103.19945740699768
3,27.059465357337697,2.9971718130440546,100.0,100.0,100.0,104.10210132598877
4,27.22313147845063,3.027980718119391,100.0,100.0,100.0,104.15975451469421
5,26.78668848881615,3.1310671485703567,100.0,100.0,100.0,103.73672556877136
6,27.386797599563558,3.134844681312298,100.0,100.0,100.0,104.02410244941711
7,26.78668848881615,3.159574664872268,100.0,100.0,100.0,103.3079903125763
8,26.73213311511184,3.1458512092458792,100.0,100.0,100.0,103.00436615943909
9,26.895799236224768,3.191490444643744,100.0,100.0,100.0,105.12208771705627
10,26.5139116202946,3.167940086331861,100.0,100.0,100.0,106.28698015213013
11,26.95035460992908,3.186087674108045,100.0,100.0,100.0,105.45639657974243
12,26.73213311511184,3.2047512161320655,100.0,100.0,100.0,103.74396419525146
13,26.67757774140753,3.1898078754030426,100.0,100.0,100.0,103.66731357574463
14,26.67757774140753,3.192207800930944,100.0,100.0,100.0,103.62039828300476
15,26.78668848881615,3.160730633242377,100.0,100.0,100.0,104.05258297920227
16,26.56846699399891,3.203693492659207,100.0,100.0,100.0,105.07211256027222
17,26.78668848881615,3.201019122682769,100.0,100.0,100.0,104.74876308441162
18,26.5139116202946,3.215336585866994,100.0,100.0,100.0,105.60410141944885
19,26.5139116202946,3.2159452232821235,100.0,100.0,100.0,105.29905724525452
20,26.67757774140753,3.1892190308406434,100.0,100.0,100.0,105.22596001625061
21,26.73213311511184,3.221143200479705,100.0,100.0,100.0,105.6686589717865
22,26.73213311511184,3.2137282387963655,100.0,100.0,100.0,105.11851930618286
23,26.623022367703218,3.188085876662156,100.0,100.0,100.0,105.5259006023407
24,26.841243862520457,3.2076662162254594,100.0,100.0,100.0,105.1867425441742
25,26.73213311511184,3.2093986642771752,100.0,100.0,100.0,104.67352533340454
26,26.67757774140753,3.216927844902565,100.0,100.0,100.0,103.87077641487122
27,26.67757774140753,3.1821593005081703,100.0,100.0,100.0,105.74610376358032
28,26.623022367703218,3.195733062152205,100.0,100.0,100.0,104.16518425941467
29,26.67757774140753,3.172593096206928,100.0,100.0,100.0,103.91630387306213
30,26.623022367703218,3.193718984209258,100.0,100.0,100.0,104.29274344444275
31,26.623022367703218,3.1590943336486816,100.0,100.0,100.0,104.80764198303223
32,26.67757774140753,3.178859723025355,100.0,100.0,100.0,104.18207335472107
