round,global_test_acc,global_test_loss,client1_val_acc,client2_val_acc,client3_val_acc,round_time
1,41.13475177304964,1.132097417938298,77.91666666666667,90.4,96.42857142857143,97.50195503234863
2,97.05400981996726,0.12200454903509596,67.91666666666667,96.4,94.76190476190476,96.44007062911987
3,97.87234042553192,0.08991228180921412,83.33333333333333,96.66666666666667,97.73809523809524,95.89374041557312
4,97.87234042553192,0.1081812402377997,81.25,95.86666666666666,98.33333333333333,97.68232464790344
5,98.63611565739225,0.08318263063697016,95.41666666666667,98.0,98.33333333333333,97.0898060798645
6,98.63611565739225,0.08585234167925403,96.25,98.0,96.9047619047619,96.57630228996277
7,98.41789416257501,0.09446184675596606,96.66666666666667,96.4,98.21428571428571,96.71382665634155
8,98.79978177850518,0.07859296245417148,95.83333333333333,97.06666666666666,98.57142857142857,95.96638226509094
9,98.52700490998363,0.09245781786796278,96.66666666666667,98.4,98.92857142857143,94.61476945877075
10,98.69067103109656,0.08095588675672027,97.5,99.33333333333333,97.5,96.96099305152893
11,98.41789416257501,0.0904046320362701,96.66666666666667,99.06666666666666,98.33333333333333,97.24856376647949
12,98.63611565739225,0.08393031001450536,95.83333333333333,99.06666666666666,98.92857142857143,95.26208686828613
13,98.79978177850518,0.09032537068844312,97.5,98.93333333333334,99.04761904761905,96.05691003799438
14,98.52700490998363,0.1020250528541071,97.08333333333333,98.8,98.69047619047619,97.17940711975098
15,98.63611565739225,0.10999493856415116,96.66666666666667,99.46666666666667,99.64285714285714,95.77262663841248
16,98.79978177850518,0.09322464271466241,95.83333333333333,92.4,99.4047619047619,96.30791854858398
17,98.47244953627933,0.1000676123055459,96.25,99.46666666666667,99.04761904761905,97.84181475639343
18,98.74522640480087,0.09574273968306984,97.5,99.46666666666667,99.28571428571429,96.32174849510193
19,98.74522640480087,0.10955896729228698,95.83333333333333,99.33333333333333,99.4047619047619,96.08454751968384
20,98.9088925259138,0.12969916415561056,96.66666666666667,99.2,99.04761904761905,96.97063064575195
21,98.41789416257501,0.11351895412789317,97.08333333333333,99.2,99.52380952380952,97.36866211891174
22,98.79978177850518,0.13145307597223116,96.66666666666667,99.46666666666667,99.28571428571429,97.02317905426025
