round,global_test_acc,global_test_loss,client1_val_acc,client2_val_acc,client3_val_acc,round_time
1,25.641025641025642,1.6050592537583976,56.25,63.46666666666667,51.54761904761905,104.90687298774719
2,57.11947626841244,1.0559736181949746,31.25,77.73333333333333,51.54761904761905,104.49097394943237
3,67.64866339334425,0.8615125998340804,62.916666666666664,72.26666666666667,55.595238095238095,103.56966400146484
4,84.94271685761048,0.46237206613195353,55.416666666666664,79.06666666666666,79.76190476190476,103.47746849060059
5,79.48717948717949,0.5479806337890953,64.58333333333333,77.46666666666667,81.19047619047619,103.80929970741272
6,88.27059465357338,0.34423053213234606,80.0,78.4,82.38095238095238,103.09211230278015
7,82.8696126568467,0.4795493067338549,59.583333333333336,65.2,86.54761904761905,104.19752526283264
8,91.92580469176214,0.2802596770483872,84.16666666666667,89.86666666666666,75.0,102.52491402626038
9,93.83524277141298,0.24051444540763722,87.08333333333333,88.13333333333334,89.4047619047619,102.89352512359619
10,92.68957992362247,0.25133884222856884,64.58333333333333,92.13333333333334,84.16666666666667,102.45390629768372
11,92.68957992362247,0.2971678209202043,81.25,92.13333333333334,84.88095238095238,102.61142802238464
12,93.01691216584834,0.23419300518159208,87.5,80.0,93.57142857142857,102.76532769203186
13,92.19858156028369,0.2481088823285596,87.5,93.33333333333333,90.47619047619048,102.58693838119507
14,94.16257501363884,0.21036617217007383,84.58333333333333,90.26666666666667,82.02380952380952,102.61447477340698
15,92.3076923076923,0.25841535088317147,85.41666666666667,93.2,78.57142857142857,103.42455244064331
16,94.32624113475177,0.2236533979082416,85.0,90.66666666666667,90.5952380952381,103.02665305137634
17,95.85379159847245,0.1681640327362151,86.66666666666667,89.33333333333333,91.19047619047619,102.80713844299316
18,95.14457174031642,0.2131048196862484,95.0,83.6,93.45238095238095,102.81329607963562
19,93.9443535188216,0.21334248646323023,92.5,90.26666666666667,86.78571428571429,102.67531538009644
20,96.39934533551555,0.16224945214544906,92.08333333333333,89.46666666666667,93.33333333333333,102.68647980690002
