round,global_test_acc,global_test_loss,global_best_score,current_beta,client1_val_acc,client2_val_acc,client3_val_acc,client1_pbest,client2_pbest,client3_pbest,round_time
1,50.08183306055646,1.2170379367367974,71.6,0.995,52.083333333333336,71.6,24.88095238095238,52.083333333333336,71.6,24.88095238095238,8.175227165222168
2,63.775231860338245,1.0668964940926124,73.73333333333333,0.99,40.416666666666664,73.73333333333333,54.04761904761905,52.083333333333336,73.73333333333333,54.04761904761905,8.001816511154175
3,46.64484451718494,1.5479059424893609,74.4047619047619,0.985,49.166666666666664,70.26666666666667,74.4047619047619,52.083333333333336,73.73333333333333,74.4047619047619,7.987665891647339
4,45.49918166939444,1.2840298619763604,74.4047619047619,0.98,45.416666666666664,54.666666666666664,47.142857142857146,52.083333333333336,73.73333333333333,74.4047619047619,7.990903615951538
5,43.6442989634479,1.3736567209506858,75.83333333333333,0.975,50.833333333333336,71.46666666666667,75.83333333333333,52.083333333333336,73.73333333333333,75.83333333333333,8.045961141586304
6,46.15384615384615,1.2576061446091225,75.83333333333333,0.97,69.16666666666667,47.06666666666667,56.42857142857143,69.16666666666667,73.73333333333333,75.83333333333333,8.024240493774414
7,54.93726132024004,0.9535847778978019,75.83333333333333,0.965,51.25,74.8,75.83333333333333,69.16666666666667,74.8,75.83333333333333,8.005399942398071
8,41.95308237861429,1.3664610673641335,75.83333333333333,0.96,69.16666666666667,65.33333333333333,58.333333333333336,69.16666666666667,74.8,75.83333333333333,8.067520380020142
9,55.91925804691762,0.9467302869106161,75.83333333333333,0.955,58.75,47.46666666666667,48.57142857142857,69.16666666666667,74.8,75.83333333333333,8.057347297668457
10,69.88543371522096,0.6922928557313722,79.2,0.95,64.58333333333333,79.2,49.285714285714285,69.16666666666667,79.2,75.83333333333333,8.0315682888031
11,54.719039825422804,1.1628700042593068,79.2,0.945,65.41666666666667,47.46666666666667,73.92857142857143,69.16666666666667,79.2,75.83333333333333,7.9122583866119385
12,70.81287506819422,0.7443196074715976,82.8,0.94,56.25,82.8,55.476190476190474,69.16666666666667,82.8,75.83333333333333,8.112374782562256
13,62.90234588106929,0.9762275835563397,82.8,0.935,59.166666666666664,77.86666666666666,73.0952380952381,69.16666666666667,82.8,75.83333333333333,8.117403984069824
14,65.1936715766503,0.7518052767063009,82.8,0.9299999999999999,67.91666666666667,74.26666666666667,76.9047619047619,69.16666666666667,82.8,76.9047619047619,7.992080211639404
15,25.75013638843426,7.370009504515549,82.8,0.925,67.5,75.46666666666667,70.71428571428571,69.16666666666667,82.8,76.9047619047619,7.982851505279541
16,59.02891434806328,1.2135661203285744,82.8,0.92,64.16666666666667,82.0,82.14285714285714,69.16666666666667,82.8,82.14285714285714,8.091754913330078
17,78.17785051827605,0.5512398954095512,82.8,0.915,66.66666666666667,77.46666666666667,69.64285714285714,69.16666666666667,82.8,82.14285714285714,8.042181015014648
18,63.39334424440808,0.9616835548959929,82.8,0.91,69.16666666666667,76.13333333333334,78.80952380952381,69.16666666666667,82.8,82.14285714285714,7.974244117736816
19,58.86524822695036,0.9981605739429079,82.8,0.905,55.833333333333336,70.26666666666667,69.64285714285714,69.16666666666667,82.8,82.14285714285714,7.966534852981567
20,43.91707583196945,1.892479131961691,82.8,0.9,63.75,80.8,63.095238095238095,69.16666666666667,82.8,82.14285714285714,8.06999135017395
21,68.95799236224768,0.7490087213187382,82.8,0.895,65.41666666666667,73.33333333333333,51.54761904761905,69.16666666666667,82.8,82.14285714285714,7.984960317611694
22,26.13202400436443,5.78613254941743,82.8,0.89,56.666666666666664,76.66666666666667,73.21428571428571,69.16666666666667,82.8,82.14285714285714,7.944004535675049
23,78.9961811238407,0.5485262829681923,82.8,0.885,55.833333333333336,69.46666666666667,80.5952380952381,69.16666666666667,82.8,82.14285714285714,8.1123685836792
24,73.10420076377522,0.6657032637760557,82.8,0.88,69.58333333333333,78.8,75.11904761904762,69.58333333333333,82.8,82.14285714285714,7.924288272857666
25,79.86906710310966,0.5141545770497158,82.8,0.875,58.333333333333336,75.86666666666666,77.73809523809524,69.58333333333333,82.8,82.14285714285714,7.982848882675171
26,77.46863066012003,0.5901557330427498,82.8,0.87,48.333333333333336,79.33333333333333,76.30952380952381,69.58333333333333,82.8,82.14285714285714,8.344409942626953
27,77.14129841789416,0.5908781125627715,82.8,0.865,62.916666666666664,70.66666666666667,77.61904761904762,69.58333333333333,82.8,82.14285714285714,9.016852617263794
28,75.23186033824332,0.6121418044484895,82.8,0.86,57.5,80.4,73.0952380952381,69.58333333333333,82.8,82.14285714285714,8.245469570159912
29,79.43262411347517,0.5361193459609459,82.8,0.855,68.33333333333333,73.73333333333333,72.73809523809524,69.58333333333333,82.8,82.14285714285714,8.086352825164795
30,75.72285870158211,0.5996608220297714,82.8,0.85,59.166666666666664,79.33333333333333,79.52380952380952,69.58333333333333,82.8,82.14285714285714,7.944057941436768
31,72.83142389525368,0.7274837247256575,82.8,0.845,71.25,81.33333333333333,74.88095238095238,71.25,82.8,82.14285714285714,7.990339994430542
32,80.30551009274413,0.5394680633627135,83.45238095238095,0.84,66.25,79.33333333333333,83.45238095238095,71.25,82.8,83.45238095238095,8.085884094238281
33,78.72340425531915,0.5382297994761631,83.45238095238095,0.835,68.33333333333333,75.6,57.857142857142854,71.25,82.8,83.45238095238095,8.01976752281189
34,52.10038188761593,1.3603830584164323,83.45238095238095,0.83,67.08333333333333,68.8,81.42857142857143,71.25,82.8,83.45238095238095,8.035512208938599
35,66.8303327877796,0.8408352054398636,83.45238095238095,0.825,59.583333333333336,79.6,48.57142857142857,71.25,82.8,83.45238095238095,7.952657699584961
36,77.79596290234588,0.5657766738842274,84.88095238095238,0.8200000000000001,59.583333333333336,80.93333333333334,84.88095238095238,71.25,82.8,84.88095238095238,7.992764949798584
37,74.41352973267867,0.6242305451426012,84.88095238095238,0.815,65.0,80.0,60.11904761904762,71.25,82.8,84.88095238095238,7.974024772644043
38,43.58974358974359,2.121283436643666,84.88095238095238,0.81,65.83333333333333,78.4,72.97619047619048,71.25,82.8,84.88095238095238,7.9939284324646
39,51.44571740316421,1.2592079968288028,84.88095238095238,0.8049999999999999,60.416666666666664,81.6,76.07142857142857,71.25,82.8,84.88095238095238,8.05888557434082
40,80.68739770867431,0.5406009164349787,84.88095238095238,0.8,70.41666666666667,80.26666666666667,52.857142857142854,71.25,82.8,84.88095238095238,8.015009641647339
41,76.759410801964,0.6054852543206051,84.88095238095238,0.795,65.0,76.93333333333334,83.69047619047619,71.25,82.8,84.88095238095238,8.015470266342163
42,78.77795962902346,0.5433266882238716,84.88095238095238,0.79,71.66666666666667,80.4,80.47619047619048,71.66666666666667,82.8,84.88095238095238,8.056848287582397
43,81.50572831423895,0.4926910688137186,84.88095238095238,0.785,66.66666666666667,83.2,80.71428571428571,71.66666666666667,83.2,84.88095238095238,8.046681880950928
44,79.65084560829241,0.5327745614380672,85.0,0.78,71.66666666666667,76.8,85.0,71.66666666666667,83.2,85.0,8.006821632385254
45,81.61483906164757,0.499086135420306,85.0,0.775,75.83333333333333,81.46666666666667,73.21428571428571,75.83333333333333,83.2,85.0,7.936373710632324
46,82.43316966721223,0.4853209997045583,85.0,0.77,53.333333333333336,77.33333333333333,83.0952380952381,75.83333333333333,83.2,85.0,8.073106050491333
47,63.557010365521,0.9340485313843037,85.71428571428571,0.765,58.333333333333336,79.06666666666666,85.71428571428571,75.83333333333333,83.2,85.71428571428571,8.083994150161743
48,78.06873977086742,0.5589661495438938,85.71428571428571,0.76,74.16666666666667,79.2,85.0,75.83333333333333,83.2,85.71428571428571,8.026532173156738
49,66.23022367703219,0.7047272396498713,85.71428571428571,0.755,70.41666666666667,82.0,62.38095238095238,75.83333333333333,83.2,85.71428571428571,8.017549276351929
50,81.39661756683033,0.5002734208929127,85.71428571428571,0.75,58.75,68.26666666666667,84.76190476190476,75.83333333333333,83.2,85.71428571428571,7.921720743179321
51,68.41243862520459,0.7560223053241598,85.71428571428571,0.745,68.33333333333333,55.333333333333336,77.14285714285714,75.83333333333333,83.2,85.71428571428571,8.058445692062378
52,81.28750681942171,0.506480126545347,85.71428571428571,0.74,72.08333333333333,83.86666666666666,83.57142857142857,75.83333333333333,83.86666666666666,85.71428571428571,8.096538782119751
53,81.45117294053465,0.49509741725592776,85.71428571428571,0.735,75.0,80.66666666666667,62.73809523809524,75.83333333333333,83.86666666666666,85.71428571428571,7.981075763702393
54,80.19639934533552,0.5453131794929504,85.71428571428571,0.73,65.41666666666667,70.13333333333334,80.35714285714286,75.83333333333333,83.86666666666666,85.71428571428571,8.082065105438232
55,83.08783415166394,0.4692133140975031,85.71428571428571,0.725,76.25,83.6,80.47619047619048,76.25,83.86666666666666,85.71428571428571,7.968158721923828
56,81.7239498090562,0.502845770326154,85.71428571428571,0.72,76.66666666666667,82.0,74.16666666666667,76.66666666666667,83.86666666666666,85.71428571428571,7.9906251430511475
57,78.39607201309329,0.5816366158682724,85.71428571428571,0.7150000000000001,76.25,83.33333333333333,67.97619047619048,76.66666666666667,83.86666666666666,85.71428571428571,8.087504863739014
58,73.37697763229679,0.70039636102216,85.71428571428571,0.71,66.66666666666667,83.33333333333333,75.0,76.66666666666667,83.86666666666666,85.71428571428571,8.027382612228394
59,81.66939443535188,0.49001414097588636,85.71428571428571,0.7050000000000001,63.75,46.266666666666666,79.76190476190476,76.66666666666667,83.86666666666666,85.71428571428571,8.072150468826294
60,82.21494817239498,0.47535450396866635,85.71428571428571,0.7,72.91666666666667,78.26666666666667,45.833333333333336,76.66666666666667,83.86666666666666,85.71428571428571,7.9491448402404785
61,74.30441898527005,0.6228889257743441,85.71428571428571,0.6950000000000001,62.5,75.86666666666666,64.04761904761905,76.66666666666667,83.86666666666666,85.71428571428571,7.943290948867798
62,82.48772504091653,0.47706586225279446,85.71428571428571,0.69,69.58333333333333,69.2,84.52380952380952,76.66666666666667,83.86666666666666,85.71428571428571,8.026076078414917
63,84.99727223131478,0.42565202815779324,86.0,0.685,73.33333333333333,86.0,52.976190476190474,76.66666666666667,86.0,85.71428571428571,8.006876707077026
64,85.0518276050191,0.4270650826651475,86.0,0.6799999999999999,71.25,53.6,55.11904761904762,76.66666666666667,86.0,85.71428571428571,8.003796577453613
65,83.63338788870703,0.461541637264449,86.0,0.675,67.91666666666667,77.6,64.4047619047619,76.66666666666667,86.0,85.71428571428571,7.950326919555664
66,84.72449536279323,0.43489714532062923,86.0,0.6699999999999999,68.75,71.86666666666666,85.95238095238095,76.66666666666667,86.0,85.95238095238095,7.949308395385742
67,83.19694489907256,0.4421729650990716,86.0,0.665,69.16666666666667,74.53333333333333,66.54761904761905,76.66666666666667,86.0,85.95238095238095,7.97455906867981
68,81.06928532460448,0.49814334614523526,86.0,0.6599999999999999,78.33333333333333,82.66666666666667,85.71428571428571,78.33333333333333,86.0,85.95238095238095,7.9869513511657715
69,80.57828696126569,0.4970438439270546,86.0,0.655,69.58333333333333,82.66666666666667,80.23809523809524,78.33333333333333,86.0,85.95238095238095,8.127621412277222
70,83.41516639388979,0.44311336916068506,86.0,0.65,59.166666666666664,83.46666666666667,85.35714285714286,78.33333333333333,86.0,85.95238095238095,8.050440073013306
71,81.88761593016912,0.4648478997164759,86.0,0.645,74.16666666666667,83.73333333333333,83.80952380952381,78.33333333333333,86.0,85.95238095238095,7.987805128097534
72,80.0872885979269,0.5223787087818672,86.0,0.64,67.91666666666667,78.8,85.11904761904762,78.33333333333333,86.0,85.95238095238095,7.964503049850464
73,80.46917621385707,0.5071528913645909,86.0,0.635,56.666666666666664,81.46666666666667,83.33333333333333,78.33333333333333,86.0,85.95238095238095,8.002201080322266
74,84.66993998908893,0.4289124885509754,86.0,0.63,78.33333333333333,84.53333333333333,83.21428571428571,78.33333333333333,86.0,85.95238095238095,8.1186842918396
75,84.06983087834152,0.4299057300748496,86.0,0.625,67.91666666666667,64.93333333333334,83.21428571428571,78.33333333333333,86.0,85.95238095238095,7.995520114898682
76,82.26950354609929,0.473789617933076,86.0,0.62,72.91666666666667,84.0,77.02380952380952,78.33333333333333,86.0,85.95238095238095,8.049610614776611
77,81.83306055646482,0.4678222095144206,86.0,0.615,65.0,78.26666666666667,84.52380952380952,78.33333333333333,86.0,85.95238095238095,7.961496114730835
78,81.45117294053465,0.4916674217273449,86.0,0.61,57.083333333333336,83.06666666666666,84.64285714285714,78.33333333333333,86.0,85.95238095238095,8.046884536743164
79,84.50627386797599,0.42721926549385336,86.0,0.605,70.0,74.0,74.76190476190476,78.33333333333333,86.0,85.95238095238095,8.02125072479248
80,81.39661756683033,0.501326112911619,86.0,0.6,50.833333333333336,82.8,83.92857142857143,78.33333333333333,86.0,85.95238095238095,8.023007869720459
81,81.12384069830878,0.47158414125442505,86.0,0.595,64.16666666666667,84.26666666666667,81.30952380952381,78.33333333333333,86.0,85.95238095238095,8.054287910461426
82,84.72449536279323,0.42996616918465186,86.0,0.5900000000000001,54.583333333333336,77.2,77.5,78.33333333333333,86.0,85.95238095238095,8.009156227111816
83,84.77905073649754,0.4233778530153735,86.0,0.585,73.33333333333333,84.26666666666667,85.35714285714286,78.33333333333333,86.0,85.95238095238095,8.054372072219849
84,79.70540098199673,0.5251899043033863,86.0,0.5800000000000001,70.83333333333333,82.66666666666667,85.47619047619048,78.33333333333333,86.0,85.95238095238095,8.094327211380005
85,81.66939443535188,0.47915165691540157,86.0,0.575,71.25,79.2,82.61904761904762,78.33333333333333,86.0,85.95238095238095,7.980454921722412
86,80.85106382978724,0.5206630754059759,86.53333333333333,0.5700000000000001,77.5,86.53333333333333,84.04761904761905,78.33333333333333,86.53333333333333,85.95238095238095,8.1781005859375
87,85.16093835242772,0.4083173105428959,86.53333333333333,0.565,72.08333333333333,84.13333333333334,69.64285714285714,78.33333333333333,86.53333333333333,85.95238095238095,7.942849636077881
88,84.39716312056737,0.4440707667120572,86.53333333333333,0.56,75.83333333333333,82.13333333333334,80.83333333333333,78.33333333333333,86.53333333333333,85.95238095238095,8.066040277481079
89,85.21549372613202,0.41048153721053027,86.53333333333333,0.5549999999999999,66.25,82.0,85.95238095238095,78.33333333333333,86.53333333333333,85.95238095238095,8.07500147819519
90,74.63175122749591,0.6452663705266756,86.53333333333333,0.55,59.583333333333336,85.06666666666666,66.19047619047619,78.33333333333333,86.53333333333333,85.95238095238095,8.030304193496704
91,85.37915984724495,0.40317026397277567,86.53333333333333,0.5449999999999999,80.41666666666667,82.93333333333334,77.73809523809524,80.41666666666667,86.53333333333333,85.95238095238095,8.057911396026611
92,83.85160938352428,0.41084247210930136,86.53333333333333,0.54,75.41666666666667,85.2,81.30952380952381,80.41666666666667,86.53333333333333,85.95238095238095,8.087505102157593
93,84.88816148390616,0.4146879120119687,86.53333333333333,0.5349999999999999,73.75,83.6,82.5,80.41666666666667,86.53333333333333,85.95238095238095,8.015336751937866
94,84.39716312056737,0.419732306537957,86.53333333333333,0.53,75.41666666666667,81.86666666666666,72.85714285714286,80.41666666666667,86.53333333333333,85.95238095238095,7.981452465057373
95,84.34260774686307,0.42616180818656396,86.53333333333333,0.525,66.25,79.73333333333333,85.47619047619048,80.41666666666667,86.53333333333333,85.95238095238095,7.901378870010376
96,84.56082924168031,0.4301027203428334,86.53333333333333,0.52,60.416666666666664,86.13333333333334,62.023809523809526,80.41666666666667,86.53333333333333,85.95238095238095,8.08388352394104
97,81.61483906164757,0.472562902960284,86.53333333333333,0.515,68.75,71.86666666666666,84.52380952380952,80.41666666666667,86.53333333333333,85.95238095238095,8.035558223724365
98,85.70649208947081,0.39986855562390955,86.53333333333333,0.51,79.58333333333333,79.06666666666666,85.5952380952381,80.41666666666667,86.53333333333333,85.95238095238095,8.14053225517273
99,83.90616475722858,0.4213732645429414,86.53333333333333,0.505,77.91666666666667,84.8,86.19047619047619,80.41666666666667,86.53333333333333,86.19047619047619,8.102449893951416
100,82.8696126568467,0.4373579405505082,86.53333333333333,0.5,81.66666666666667,81.2,82.26190476190476,81.66666666666667,86.53333333333333,86.19047619047619,7.92221736907959
