round,global_test_acc,global_test_loss,global_best_score,client1_val_acc,client2_val_acc,client3_val_acc,client1_pbest,client2_pbest,client3_pbest,round_time
1,36.93398799781779,1.215849803439502,89.16666666666667,48.333333333333336,75.6,89.16666666666667,48.333333333333336,75.6,89.16666666666667,97.93482947349548
2,89.74358974358974,0.3076996086486455,93.92857142857143,79.16666666666667,93.06666666666666,93.92857142857143,79.16666666666667,93.06666666666666,93.92857142857143,96.33860325813293
3,94.59901800327333,0.20125791952335115,95.83333333333333,82.91666666666667,85.6,95.83333333333333,82.91666666666667,93.06666666666666,95.83333333333333,95.91411685943604
4,94.70812875068194,0.18751774715452357,95.83333333333333,85.41666666666667,94.8,93.21428571428571,85.41666666666667,94.8,95.83333333333333,95.30507898330688
5,96.61756683033279,0.1333342488887238,97.06666666666666,86.66666666666667,97.06666666666666,92.61904761904762,86.66666666666667,97.06666666666666,95.83333333333333,96.44849443435669
6,96.72667757774141,0.13086753031881204,97.06666666666666,85.83333333333333,94.4,96.78571428571429,86.66666666666667,97.06666666666666,96.78571428571429,94.86352467536926
7,97.43589743589743,0.12623004151251296,97.06666666666666,95.83333333333333,95.06666666666666,93.92857142857143,95.83333333333333,97.06666666666666,96.78571428571429,96.24841976165771
8,97.49045280960175,0.12327432970452154,97.06666666666666,88.75,97.06666666666666,95.95238095238095,95.83333333333333,97.06666666666666,96.78571428571429,95.60254311561584
9,96.99945444626296,0.12443958300743894,97.06666666666666,93.33333333333333,94.8,96.9047619047619,95.83333333333333,97.06666666666666,96.9047619047619,95.99944114685059
10,96.29023458810693,0.14361449740706653,97.2,93.33333333333333,97.2,96.78571428571429,95.83333333333333,97.2,96.9047619047619,96.37723517417908
11,97.98145117294054,0.10850180717233311,97.61904761904762,94.58333333333333,95.46666666666667,97.61904761904762,95.83333333333333,97.2,97.61904761904762,95.97456431388855
12,98.03600654664484,0.10876639553442083,97.61904761904762,89.58333333333333,92.4,96.30952380952381,95.83333333333333,97.2,97.61904761904762,96.25853729248047
13,97.92689579923622,0.12398441874719193,98.13333333333334,96.25,98.13333333333334,97.5,96.25,98.13333333333334,97.61904761904762,97.73139142990112
14,97.70867430441899,0.12950679062913847,98.21428571428571,94.16666666666667,97.73333333333333,98.21428571428571,96.25,98.13333333333334,98.21428571428571,96.45942759513855
15,97.8177850518276,0.128597005919738,98.21428571428571,96.66666666666667,90.53333333333333,96.78571428571429,96.66666666666667,98.13333333333334,98.21428571428571,95.57173466682434
16,98.09056192034916,0.12012512182188621,98.26666666666667,94.58333333333333,98.26666666666667,98.21428571428571,96.66666666666667,98.26666666666667,98.21428571428571,95.83045101165771
17,98.09056192034916,0.11751202104115409,98.26666666666667,96.66666666666667,90.66666666666667,97.85714285714286,96.66666666666667,98.26666666666667,98.21428571428571,95.21557092666626
