round,global_test_acc,global_test_loss,global_best_score,current_beta,client1_val_acc,client2_val_acc,client3_val_acc,client1_pbest,client2_pbest,client3_pbest,round_time
1,24.113475177304963,,51.6,0.995,25.0,51.6,25.0,25.0,51.6,25.0,8.1042799949646
2,48.17239498090562,1.297427017113258,62.142857142857146,0.99,25.0,50.8,62.142857142857146,25.0,51.6,62.142857142857146,7.927957534790039
3,62.247681396617565,0.9803263483376339,67.73809523809524,0.985,25.833333333333332,54.8,67.73809523809524,25.833333333333332,54.8,67.73809523809524,7.876100301742554
4,54.55537370430987,0.9424493991095444,78.45238095238095,0.98,45.833333333333336,53.333333333333336,78.45238095238095,45.833333333333336,54.8,78.45238095238095,7.930996656417847
5,45.662847790507364,1.5321545313144553,78.45238095238095,0.975,52.916666666666664,55.733333333333334,65.71428571428571,52.916666666666664,55.733333333333334,78.45238095238095,7.928277969360352
6,74.52264048008729,0.6814917880913307,78.45238095238095,0.97,41.25,63.06666666666667,70.23809523809524,52.916666666666664,63.06666666666667,78.45238095238095,7.989604711532593
7,68.68521549372613,0.725890104112954,78.45238095238095,0.965,37.083333333333336,46.93333333333333,78.33333333333333,52.916666666666664,63.06666666666667,78.45238095238095,8.014830827713013
8,50.245499181669395,1.2249544571185935,78.45238095238095,0.96,37.083333333333336,59.733333333333334,72.14285714285714,52.916666666666664,63.06666666666667,78.45238095238095,7.999329566955566
9,71.41298417894163,0.7555804766457657,78.45238095238095,0.955,30.833333333333332,51.6,71.78571428571429,52.916666666666664,63.06666666666667,78.45238095238095,7.9868199825286865
10,63.229678123295145,0.7977561806810314,78.45238095238095,0.95,44.166666666666664,52.8,57.976190476190474,52.916666666666664,63.06666666666667,78.45238095238095,8.060031414031982
11,60.39279869067103,0.9344027843968622,78.45238095238095,0.945,38.333333333333336,58.53333333333333,69.88095238095238,52.916666666666664,63.06666666666667,78.45238095238095,7.929499626159668
12,63.93889798145117,0.895458225546212,78.45238095238095,0.94,46.25,61.86666666666667,76.66666666666667,52.916666666666664,63.06666666666667,78.45238095238095,7.8817291259765625
13,62.193126022913255,0.9530035956152554,78.45238095238095,0.935,45.416666666666664,70.8,69.16666666666667,52.916666666666664,70.8,78.45238095238095,7.936808109283447
14,75.72285870158211,0.6445864254030688,78.45238095238095,0.9299999999999999,27.916666666666668,52.93333333333333,72.26190476190476,52.916666666666664,70.8,78.45238095238095,7.919260025024414
15,63.720676486633934,0.8588716839921886,78.45238095238095,0.925,41.666666666666664,43.6,76.78571428571429,52.916666666666664,70.8,78.45238095238095,8.002398014068604
16,73.9770867430442,0.6531747517914608,78.45238095238095,0.92,33.333333333333336,60.93333333333333,75.71428571428571,52.916666666666664,70.8,78.45238095238095,8.12840747833252
17,63.66612111292962,0.8693634127748424,78.45238095238095,0.915,26.25,42.13333333333333,56.42857142857143,52.916666666666664,70.8,78.45238095238095,7.939504146575928
18,72.28587015821059,0.6942720680401243,78.57142857142857,0.91,47.5,60.93333333333333,78.57142857142857,52.916666666666664,70.8,78.57142857142857,7.8248131275177
19,68.68521549372613,0.7322458604286457,78.57142857142857,0.905,35.0,59.06666666666667,72.61904761904762,52.916666666666664,70.8,78.57142857142857,7.9657065868377686
20,73.59519912711401,0.6720304879648932,80.11904761904762,0.9,41.666666666666664,49.06666666666667,80.11904761904762,52.916666666666664,70.8,80.11904761904762,7.936221361160278
21,64.81178396072013,0.7959150754172226,80.11904761904762,0.895,45.833333333333336,42.266666666666666,67.73809523809524,52.916666666666664,70.8,80.11904761904762,7.9633331298828125
