round,global_test_acc,global_test_loss,global_best_score,client1_val_acc,client2_val_acc,client3_val_acc,client1_pbest,client2_pbest,client3_pbest,round_time
1,81.7239498090562,0.5342797061492657,91.66666666666667,76.66666666666667,85.46666666666667,91.66666666666667,76.66666666666667,85.46666666666667,91.66666666666667,96.96974325180054
2,93.07146753955264,0.2396121583878994,95.11904761904762,88.33333333333333,94.93333333333334,95.11904761904762,88.33333333333333,94.93333333333334,95.11904761904762,98.38661766052246
3,95.5810147299509,0.16607187930815692,96.66666666666667,90.0,94.93333333333334,96.66666666666667,90.0,94.93333333333334,96.66666666666667,97.30315351486206
4,95.0900163666121,0.17308676769507342,96.66666666666667,92.91666666666667,94.8,95.47619047619048,92.91666666666667,94.93333333333334,96.66666666666667,98.02153778076172
5,95.5810147299509,0.1726811325723498,96.66666666666667,89.58333333333333,93.46666666666667,89.16666666666667,92.91666666666667,94.93333333333334,96.66666666666667,96.49981641769409
6,94.65357337697763,0.21038229050564355,96.66666666666667,95.0,93.33333333333333,87.14285714285714,95.0,94.93333333333334,96.66666666666667,97.28792142868042
7,96.07201309328968,0.17801617277015386,96.66666666666667,92.5,95.46666666666667,93.57142857142857,95.0,95.46666666666667,96.66666666666667,98.29269933700562
8,94.54446262956901,0.22303038340961112,96.66666666666667,92.91666666666667,94.66666666666667,93.69047619047619,95.0,95.46666666666667,96.66666666666667,96.3149049282074
9,95.19912711402073,0.20670658220729693,96.66666666666667,91.66666666666667,93.86666666666666,96.30952380952381,95.0,95.46666666666667,96.66666666666667,97.28562211990356
10,95.63557010365521,0.17488484836087145,96.66666666666667,92.91666666666667,95.86666666666666,95.0,95.0,95.86666666666666,96.66666666666667,96.95224475860596
11,96.07201309328968,0.16547596768540299,96.93333333333334,82.91666666666667,96.93333333333334,94.76190476190476,95.0,96.93333333333334,96.66666666666667,98.07612419128418
12,97.49045280960175,0.12498691145346724,96.93333333333334,92.5,94.66666666666667,95.0,95.0,96.93333333333334,96.66666666666667,96.67997360229492
13,97.05400981996726,0.14358663095305835,96.93333333333334,87.91666666666667,96.0,95.11904761904762,95.0,96.93333333333334,96.66666666666667,96.91156196594238
