round,global_test_acc,global_test_loss,client1_val_acc,client2_val_acc,client3_val_acc,round_time
1,55.70103655210038,1.1507720865052322,42.5,57.86666666666667,45.476190476190474,71.30056977272034
2,75.77741407528642,0.7132624058887876,36.666666666666664,70.66666666666667,33.80952380952381,72.91484093666077
3,75.34097108565193,0.6280922961646113,48.333333333333336,47.86666666666667,73.57142857142857,72.92771983146667
4,76.8139661756683,0.6035580141790982,55.0,68.4,79.16666666666667,73.05886220932007
5,74.35897435897436,0.6241002843297762,74.16666666666667,54.93333333333333,43.69047619047619,74.46385049819946
6,78.06873977086742,0.5809338226400572,61.25,66.13333333333334,81.66666666666667,73.09499335289001
7,78.61429350791053,0.5236727430902678,62.083333333333336,79.33333333333333,77.26190476190476,73.29342842102051
8,79.21440261865794,0.5279424694077722,62.916666666666664,67.33333333333333,80.23809523809524,76.36946439743042
9,81.45117294053465,0.49385946166926414,70.83333333333333,80.13333333333334,82.26190476190476,74.63935732841492
10,82.21494817239498,0.4717941325286339,66.66666666666667,65.2,69.88095238095238,75.42270135879517
11,80.30551009274413,0.4949203575479573,76.66666666666667,77.73333333333333,75.0,71.61034345626831
12,82.8150572831424,0.44738625041369734,72.91666666666667,66.53333333333333,81.66666666666667,73.44747018814087
13,84.77905073649754,0.4410693511880677,67.5,75.6,84.76190476190476,73.76724648475647
14,83.46972176759411,0.4389329306010542,61.666666666666664,81.33333333333333,48.095238095238095,73.81281518936157
15,85.6519367157665,0.40634178806995525,60.833333333333336,85.86666666666666,85.95238095238095,74.73366832733154
16,84.66993998908893,0.4109024138286196,63.75,72.8,88.45238095238095,74.03850412368774
17,86.47026732133115,0.39652799635097896,76.25,80.4,77.61904761904762,73.5656316280365
18,86.96126568466994,0.3810553278388648,68.33333333333333,77.86666666666666,89.16666666666667,73.97995734214783
19,86.7430441898527,0.3807353300267252,58.333333333333336,66.0,88.69047619047619,74.89191794395447
20,87.17948717948718,0.3754851787254728,63.333333333333336,80.53333333333333,86.19047619047619,75.11260890960693
21,87.39770867430443,0.369091478401217,78.75,76.0,90.0,74.6535587310791
22,88.21603927986907,0.350068648827487,69.16666666666667,87.86666666666666,83.33333333333333,75.50201320648193
23,87.67048554282597,0.35674013968171747,80.41666666666667,78.26666666666667,89.64285714285714,75.12155413627625
24,88.27059465357338,0.34687867657891636,79.58333333333333,85.6,89.28571428571429,75.53810691833496
