round,global_test_acc,global_test_loss,client1_val_acc,client2_val_acc,client3_val_acc,round_time
1,23.022367703218766,1.3901404060166458,35.416666666666664,26.533333333333335,31.071428571428573,8.032754898071289
2,55.210038188761594,1.1547624818209945,25.0,52.266666666666666,56.666666666666664,7.917842388153076
3,60.06546644844517,1.0163657069206238,31.25,34.266666666666666,49.76190476190476,7.95980167388916
4,68.35788325150027,0.873196527875703,38.75,57.333333333333336,48.095238095238095,7.962876081466675
5,68.46699399890889,0.7901404479454304,34.166666666666664,37.06666666666667,74.4047619047619,7.990929365158081
6,71.95853791598472,0.7482868802958521,38.75,64.66666666666667,39.642857142857146,7.995384931564331
7,70.64920894708129,0.6911815384338642,43.333333333333336,58.0,71.54761904761905,7.96714186668396
8,75.01363884342608,0.6412479959685227,56.666666666666664,64.13333333333334,52.26190476190476,7.9595866203308105
9,69.1216584833606,0.7038872992170269,40.416666666666664,57.6,67.38095238095238,8.000150442123413
10,71.303873431533,0.6649797610167799,58.333333333333336,62.13333333333333,72.73809523809524,7.908037900924683
11,72.01309328968904,0.6632309268260824,58.75,64.93333333333334,63.45238095238095,8.033923864364624
12,76.32296781232951,0.6202267213114376,37.083333333333336,66.0,76.42857142857143,7.91513204574585
13,73.9770867430442,0.6285206839956087,32.5,56.666666666666664,50.95238095238095,7.941370248794556
14,79.97817785051828,0.5554349607434766,55.0,67.46666666666667,75.5952380952381,7.97046685218811
15,78.83251500272777,0.5570204925948176,51.666666666666664,74.93333333333334,75.95238095238095,7.877621173858643
16,79.81451172940535,0.5625051280547833,42.916666666666664,53.733333333333334,76.66666666666667,7.943628549575806
17,83.03327877795962,0.45706459160508783,54.166666666666664,77.6,80.35714285714286,8.015936136245728
18,82.26950354609929,0.5047934743864783,46.666666666666664,62.0,66.54761904761905,7.943680286407471
19,72.34042553191489,0.5918804612653009,60.833333333333336,70.26666666666667,68.80952380952381,7.895200490951538
20,81.50572831423895,0.47312953554350756,45.416666666666664,80.13333333333334,63.214285714285715,7.986234188079834
21,85.32460447354065,0.4616293650248955,50.416666666666664,64.8,75.95238095238095,7.962423324584961
22,80.79650845608292,0.4790250237645774,43.333333333333336,75.06666666666666,62.142857142857146,7.966113328933716
23,79.92362247681396,0.4958830414147213,61.25,66.13333333333334,76.9047619047619,7.9930336475372314
24,85.6519367157665,0.430434656554255,39.583333333333336,63.333333333333336,85.0,7.9704954624176025
25,84.94271685761048,0.4122428606296408,63.75,74.26666666666667,68.57142857142857,7.990368843078613
26,84.66993998908893,0.42399611863596687,62.083333333333336,84.66666666666667,83.57142857142857,8.065576553344727
27,86.68848881614839,0.38080079339701556,58.75,82.4,85.35714285714286,7.959378719329834
28,83.03327877795962,0.4357381473327505,58.333333333333336,76.8,85.0,8.05900764465332
29,84.39716312056737,0.40766937516886614,70.41666666666667,83.86666666666666,76.9047619047619,7.963255882263184
30,84.39716312056737,0.4206496405190435,58.333333333333336,63.86666666666667,85.83333333333333,8.043339014053345
31,83.63338788870703,0.42317061588681976,61.25,71.86666666666666,76.9047619047619,8.06945013999939
32,85.92471358428806,0.38452665610560055,47.083333333333336,82.13333333333334,87.14285714285714,8.030083417892456
33,84.56082924168031,0.4019115433610719,66.66666666666667,73.46666666666667,81.9047619047619,8.037651300430298
34,87.01582105837424,0.345812631578281,53.75,80.66666666666667,86.66666666666667,8.021221160888672
35,83.85160938352428,0.4169747593074009,68.75,84.13333333333334,79.52380952380952,8.032840490341187
36,86.2520458265139,0.35147461706194383,68.33333333333333,83.2,88.0952380952381,8.008563995361328
37,85.21549372613202,0.3763606183487794,64.16666666666667,71.46666666666667,85.5952380952381,8.083117485046387
38,87.50681942171303,0.3501341512490963,59.166666666666664,81.86666666666666,76.78571428571429,8.087751388549805
39,87.34315330060011,0.32965972916833286,56.666666666666664,85.6,85.23809523809524,8.110244989395142
40,88.16148390616476,0.31927418194968127,67.08333333333333,86.13333333333334,88.69047619047619,8.011242389678955
41,88.32515002727769,0.3061863060655265,70.0,88.93333333333334,86.42857142857143,8.039522886276245
42,84.77905073649754,0.400929118538725,68.75,85.73333333333333,79.04761904761905,7.981487989425659
43,88.59792689579923,0.31253923527125654,61.25,87.73333333333333,81.78571428571429,7.9888105392456055
44,85.54282596835789,0.3921372726045806,63.75,69.2,87.26190476190476,7.915099382400513
45,90.0163666121113,0.3006324511149834,64.58333333333333,73.46666666666667,77.61904761904762,7.946632146835327
46,88.9798145117294,0.3158208856294895,55.0,70.4,84.04761904761905,8.081364393234253
47,89.68903436988543,0.3010168877141229,52.916666666666664,84.66666666666667,81.42857142857143,8.091707706451416
48,89.03436988543372,0.2998475478640918,73.75,83.2,88.80952380952381,8.076832294464111
49,87.67048554282597,0.3290702885594861,70.41666666666667,86.66666666666667,85.71428571428571,7.950109004974365
50,86.7430441898527,0.3692465280664378,68.75,86.66666666666667,67.02380952380952,8.012210845947266
51,89.96181123840698,0.3094388457207844,71.66666666666667,84.53333333333333,88.92857142857143,8.054057121276855
