Metric,FedAvg,FedProx,QPSO-FL
Final Acc (%),88.16,91.82,72.67
Best Acc (%),90.56,93.02,77.3
Rounds to 80%,35.0,17.0,N/A
Avg Round (s),7.9,8.02,7.97
Total Time (min),13.16,13.36,13.28
Client Std Dev,12.82,6.05,9.35
