feature,coef_std,effect_percent_per_1sd,target,abs_coef
idh1_mutation_is_unknown,-0.23980976979367455,-21.322248431917178,log_k,0.23980976979367455
enhancing_fraction,-0.23245394529448463,-20.74137491673833,log_k,0.23245394529448463
edema_fraction,-0.21973563232704088,-19.726901396380036,log_k,0.21973563232704088
age_at_diagnosis,0.21264070140962968,23.6940140543479,log_k,0.21264070140962968
cdkn2a_b_present,-0.19103592220882312,-17.389708782313683,log_k,0.19103592220882312
initial_chemo_therapy_Yes,0.17411792503509976,19.019591143970118,log_k,0.17411792503509976
idh1_present,-0.1457952987679659,-13.56653845623833,log_k,0.1457952987679659
is_hgg,0.12901113298824124,13.770279012701092,log_k,0.12901113298824124
previous_brain_tumor,0.11184638398606739,11.83410523544508,log_k,0.11184638398606739
radiation_therapy_Yes,0.1108098992262676,11.718250940719965,log_k,0.1108098992262676
egfr_present,0.11031898630520308,11.663420467409512,log_k,0.11031898630520308
egfr_amplification_is_unknown,-0.0898924306614724,-8.597049846789972,log_k,0.0898924306614724
atrx_present,-0.08978431061959427,-8.5871668217247,log_k,0.08978431061959427
mgmt_present,-0.06801270836581443,-6.575139927120821,log_k,0.06801270836581443
pten_present,-0.06521622675449155,-6.31351337746906,log_k,0.06521622675449155
sex_at_birth_Male,0.054491829292795335,5.6003848080225405,log_k,0.054491829292795335
necrotic_fraction,0.021352027035741555,2.1581612693093666,log_k,0.021352027035741555
idh2_present,0.0,0.0,log_k,0.0
atrx_mutation_is_unknown,-0.0,0.0,log_k,0.0
mgmt_methylation_is_unknown,-0.0,0.0,log_k,0.0
idh2_mutation_is_unknown,-0.0,0.0,log_k,0.0
tp53_present,-0.0,0.0,log_k,0.0
