grade,plain_mae,plain_rmse,plain_r2,forced_v2_mae,forced_v2_rmse,forced_v2_r2,delta_rmse_forced_minus_plain,n_obs
HGG,90223.53440016652,267363.7646913056,-13.394940834007535,282365.4494166925,1362588.817374708,-372.8818899901418,1095225.0526834023,55
LGG,16413.406940854686,17891.634093857734,0.25014932950822877,44910.282515227365,78787.29919092832,-13.540762973351722,60895.66509707058,5
UNKNOWN,8885.747571771954,8885.747571771954,,9006.628178437724,9006.628178437724,,120.88060666577076,1
