model,grade,rmse_mean,mae_mean,r2_mean,n_obs_mean
covariate_logistic,HGG,56951.774641947486,38269.37355467638,0.06262073993926875,100.6
covariate_logistic,LGG,49145.6739709587,27969.39809021997,-0.28921776066156635,22.6
covariate_logistic,UNKNOWN,16503.31798692444,13866.569397463943,0.2520553911452776,19.0
grade_median,HGG,54373.93168252637,39307.93013261978,0.166232500962991,100.6
grade_median,LGG,47951.04804555998,28641.06240555098,-0.3021954056227287,22.6
grade_median,UNKNOWN,34992.73160472013,28170.46395918519,-2.3041165736027485,19.0
