model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,n_obs_mean
covariate_logistic,55337.266559846794,9420.993157057244,36644.43914788184,6535.613332740854,0.04427429915937251,0.4833549592570625,130.8
grade_median,54444.95603065546,7287.811866555207,38761.17412131171,4117.051456160234,0.09140107401303539,0.38000572429530005,130.8
