grade,plain_mae,plain_rmse,plain_r2,forced_mae,forced_rmse,forced_r2,delta_rmse_forced_minus_plain,n_obs
HGG,90223.53440016652,267363.7646913056,-13.394940834007535,90012.39126459042,277431.86694430833,-14.499492468948135,10068.102253002755,55
LGG,16413.406940854686,17891.634093857734,0.25014932950822877,29499.73582897314,43924.12935777997,-3.519403238164611,26032.49526392224,5
UNKNOWN,8885.747571771954,8885.747571771954,,8885.750003636149,8885.750003636149,,0.002431864195386879,1
